Product,Tab Name,Data Visualization,Data Viz Calculation,Data Point,Data Point Calculation,Data Dictionary Table,Data Dictionary Field,DD Data Type,Source Type,Source Data Collection,Source Table,Source Column Name,Source Data Type,,
InsightFlow,Denial Management,Total Denied Charges (Practice),COUNT(Charges) WHERE Denied AND in ServiceDates AND Practice = '<filter>',Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,WinOMS,exported_files,AccountingType,string,,
InsightFlow,Denial Management,Total Denied Charges (Provider),COUNT(Charges) WHERE Denied AND in ServiceDates AND Provider = '<filter>',Provider,,trx_reports,Provider,VARCHAR,PMS,WinOMS,exported_files,default provider,string,,
InsightFlow,Denial Management,Total Denied Charges (Provider),COUNT(Charges) WHERE Denied AND in ServiceDates AND Provider = '<filter>',Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
InsightFlow,Denial Management,Total Denied Charges (Provider),COUNT(Charges) WHERE Denied AND in ServiceDates AND Provider = '<filter>',Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Total Denied Charges (Provider),COUNT(Charges) WHERE Denied AND in ServiceDates AND Provider = '<filter>',Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Total Denied Charges (Provider),COUNT(Charges) WHERE Denied AND in ServiceDates AND Provider = '<filter>',Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,WinOMS,exported_files,amount,string,,
InsightFlow,Denial Management,Total Denied Charges (Provider),COUNT(Charges) WHERE Denied AND in ServiceDates AND Provider = '<filter>',Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,WinOMS,exported_files,AccountingType,string,,
InsightFlow,Denial Management,Total Denied Charges (Location),COUNT(Charges) WHERE Denied AND in ServiceDates AND Location = '<filter>',Location,,trx_reports,Location,VARCHAR,PMS,WinOMS,exported_files,default office,string,,
InsightFlow,Denial Management,Total Denied Charges (Location),COUNT(Charges) WHERE Denied AND in ServiceDates AND Location = '<filter>',Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
InsightFlow,Denial Management,Total Denied Charges (Location),COUNT(Charges) WHERE Denied AND in ServiceDates AND Location = '<filter>',Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Total Denied Charges (Location),COUNT(Charges) WHERE Denied AND in ServiceDates AND Location = '<filter>',Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Total Denied Charges (Location),COUNT(Charges) WHERE Denied AND in ServiceDates AND Location = '<filter>',Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,WinOMS,exported_files,amount,string,,
InsightFlow,Denial Management,Total Denied Charges (Location),COUNT(Charges) WHERE Denied AND in ServiceDates AND Location = '<filter>',Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,WinOMS,exported_files,AccountingType,string,,
InsightFlow,Denial Management,Denial Rate,(SUM(Denied) / COUNT(ClaimID)) x 100 IN Service Dates,Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Denial Rate,(SUM(Denied) / COUNT(ClaimID)) x 100 IN Service Dates,Insurance Claim ID,,,,,,,,,,,
InsightFlow,Denial Management,Denial Rate,(SUM(Denied) / COUNT(ClaimID)) x 100 IN Service Dates,Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Denial Rate (Practice),(SUM(Denied) / COUNT(ClaimID)) x 100 IN Service Dates WHERE Practice = '<filter>',Practice ,,trx_reports,POD,VARCHAR,PMS,WinOMS,exported_files,default office,string,,
InsightFlow,Denial Management,Denial Rate (Practice),(SUM(Denied) / COUNT(ClaimID)) x 100 IN Service Dates WHERE Practice = '<filter>',Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Denial Rate (Practice),(SUM(Denied) / COUNT(ClaimID)) x 100 IN Service Dates WHERE Practice = '<filter>',Insurance Claim ID,,,,,,,,,,,
InsightFlow,Denial Management,Denial Rate (Practice),(SUM(Denied) / COUNT(ClaimID)) x 100 IN Service Dates WHERE Practice = '<filter>',Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
